customerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MultipleLines,Churn,EndDate_Calc,Tenure_Days
6322-HRPFA,2016-01-01,No,Month-to-month,No,Credit_card_(automatic),59.6,2970.3,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,0,2020-02-01,1492
6865-JZNKO,2017-08-01,No,Month-to-month,Yes,Bank_transfer_(automatic),55.3,1530.6,Female,0,No,No,DSL,Yes,Yes,No,No,No,No,No,0,2020-02-01,914
6467-CHFZW,2015-12-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,99.35,4749.15,Male,0,Yes,Yes,Fiber_optic,No,Yes,No,No,Yes,Yes,Yes,1,2019-11-01,1431
8665-UTDHZ,2019-11-01,2019-12-01 00:00:00,Month-to-month,No,Electronic_check,30.2,30.2,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No,1,2019-12-01,30
5248-YGIJN,2014-02-01,No,Two_year,Yes,Credit_card_(automatic),90.25,6369.45,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2191
8773-HHUOZ,2018-06-01,2019-11-01 00:00:00,Month-to-month,Yes,Mailed_check,64.7,1093.1,Female,0,No,Yes,DSL,No,No,No,No,Yes,Yes,No,1,2019-11-01,518
3841-NFECX,2014-03-01,No,Two_year,Yes,Credit_card_(automatic),96.35,6766.95,Female,1,Yes,No,Fiber_optic,Yes,Yes,Yes,Yes,No,No,Yes,0,2020-02-01,2163
4929-XIHVW,2019-12-01,No,Month-to-month,Yes,Credit_card_(automatic),95.5,181.65,Male,1,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,No,0,2020-02-01,62
6827-IEAUQ,2017-11-01,No,One_year,No,Mailed_check,66.15,1874.45,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,0,2020-02-01,822
7310-EGVHZ,2020-01-01,No,Month-to-month,No,Bank_transfer_(automatic),20.2,20.2,Male,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,31
3413-BMNZE,2020-01-01,No,Month-to-month,No,Bank_transfer_(automatic),45.25,45.25,Male,1,No,No,DSL,No,No,No,No,No,No,No,0,2020-02-01,31
6234-RAAPL,2014-02-01,No,Two_year,No,Bank_transfer_(automatic),99.9,7251.7,Female,0,Yes,Yes,Fiber_optic,Yes,Yes,No,Yes,Yes,No,Yes,0,2020-02-01,2191
6047-YHPVI,2019-06-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,69.7,316.9,Male,0,No,No,Fiber_optic,No,No,No,No,No,No,No,1,2019-11-01,153
6572-ADKRS,2016-04-01,No,Month-to-month,Yes,Credit_card_(automatic),74.8,3548.3,Female,0,No,No,Fiber_optic,No,No,Yes,No,No,No,No,0,2020-02-01,1401
5380-WJKOV,2017-02-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,106.35,3549.25,Male,0,No,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Yes,1,2019-12-01,1033
8168-UQWWF,2018-12-01,2019-11-01 00:00:00,Month-to-month,Yes,Bank_transfer_(automatic),97.85,1105.4,Female,0,No,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Yes,1,2019-11-01,335
8865-TNMNX,2019-04-01,No,One_year,No,Mailed_check,49.55,475.7,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No,0,2020-02-01,306
9489-DEDVP,2014-04-01,No,Two_year,Yes,Credit_card_(automatic),69.2,4872.35,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,0,2020-02-01,2132
9867-JCZSP,2018-09-01,No,One_year,No,Mailed_check,20.75,418.25,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,518
4671-VJLCL,2014-11-01,No,Two_year,Yes,Credit_card_(automatic),79.85,4861.45,Female,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,0,2020-02-01,1918
4080-IIARD,2019-01-01,No,Month-to-month,Yes,Electronic_check,76.2,981.45,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,0,2020-02-01,396
3714-NTNFO,2016-01-01,No,Month-to-month,Yes,Electronic_check,84.5,3906.7,Female,0,No,No,Fiber_optic,No,No,No,No,No,Yes,Yes,0,2020-02-01,1492
5948-UJZLF,2019-12-01,No,Month-to-month,No,Mailed_check,49.25,97.0,Male,0,No,No,DSL,No,Yes,No,No,No,No,No,0,2020-02-01,62
7760-OYPDY,2019-11-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic_check,80.65,144.15,Female,0,No,No,Fiber_optic,No,No,No,No,Yes,No,No,1,2020-01-01,61
7639-LIAYI,2015-10-01,No,Two_year,Yes,Credit_card_(automatic),79.75,4217.8,Male,0,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,0,2020-02-01,1584
2954-PIBKO,2014-05-01,No,Two_year,Yes,Credit_card_(automatic),64.15,4254.1,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,0,2020-02-01,2102
8012-SOUDQ,2016-07-01,No,Month-to-month,Yes,Electronic_check,90.25,3838.75,Female,1,No,No,Fiber_optic,No,Yes,No,No,Yes,No,Yes,0,2020-02-01,1310
9420-LOJKX,2018-09-01,2019-12-01 00:00:00,Month-to-month,Yes,Credit_card_(automatic),99.1,1426.4,Female,0,No,No,Fiber_optic,Yes,Yes,No,No,Yes,Yes,No,1,2019-12-01,456
6575-SUVOI,2018-01-01,No,Month-to-month,Yes,Credit_card_(automatic),69.5,1752.65,Female,1,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,0,2020-02-01,761
7495-OOKFY,2019-03-01,2019-11-01 00:00:00,Month-to-month,Yes,Credit_card_(automatic),80.65,633.3,Female,1,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Yes,1,2019-11-01,245
4667-QONEA,2015-02-01,No,One_year,Yes,Credit_card_(automatic),74.85,4456.35,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,0,2020-02-01,1826
1658-BYGOY,2018-07-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic_check,95.45,1752.55,Male,1,No,No,Fiber_optic,No,No,No,No,Yes,Yes,Yes,1,2020-01-01,549
8769-KKTPH,2014-11-01,No,One_year,Yes,Credit_card_(automatic),99.65,6311.2,Female,0,Yes,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,Yes,0,2020-02-01,1918
5067-XJQFU,2014-08-01,No,One_year,Yes,Electronic_check,108.45,7076.35,Male,1,Yes,Yes,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2010
3957-SQXML,2017-04-01,No,Two_year,No,Credit_card_(automatic),24.95,894.3,Female,0,Yes,Yes,No,No,No,No,No,No,No,Yes,0,2020-02-01,1036
5954-BDFSG,2014-02-01,No,Two_year,Yes,Credit_card_(automatic),107.5,7853.7,Female,0,No,No,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2191
0434-CSFON,2016-03-01,No,Month-to-month,Yes,Electronic_check,100.5,4707.1,Female,0,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Yes,0,2020-02-01,1432
1215-FIGMP,2015-02-01,No,Month-to-month,Yes,Bank_transfer_(automatic),89.9,5450.7,Male,0,No,No,Fiber_optic,No,Yes,No,No,Yes,No,Yes,0,2020-02-01,1826
0526-SXDJP,2014-02-01,No,Two_year,No,Bank_transfer_(automatic),42.1,2962.0,Male,0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,0,2020-02-01,2191
0557-ASKVU,2018-08-01,No,One_year,Yes,Credit_card_(automatic),54.4,957.1,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,0,2020-02-01,549
5698-BQJOH,2019-04-01,2020-01-01 00:00:00,Month-to-month,No,Electronic_check,94.4,857.25,Female,0,No,No,Fiber_optic,No,No,No,No,Yes,Yes,Yes,1,2020-01-01,275
5122-CYFXA,2019-11-01,No,Month-to-month,Yes,Electronic_check,75.3,244.1,Female,0,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No,0,2020-02-01,92
8627-ZYGSZ,2016-03-01,No,One_year,Yes,Electronic_check,78.9,3650.35,Male,0,Yes,No,Fiber_optic,No,Yes,No,No,No,No,Yes,0,2020-02-01,1432
3410-YOQBQ,2017-07-01,No,Two_year,No,Mailed_check,79.2,2497.2,Female,0,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,0,2020-02-01,945
3170-NMYVV,2015-12-01,No,Two_year,No,Bank_transfer_(automatic),20.15,930.9,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1523
7410-OIEDU,2019-04-01,No,Month-to-month,Yes,Mailed_check,79.85,887.35,Male,0,No,No,Fiber_optic,Yes,No,Yes,No,No,No,No,0,2020-02-01,306
2273-QCKXA,2020-01-01,No,Month-to-month,No,Mailed_check,49.05,49.05,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0,2020-02-01,31
0731-EBJQB,2015-10-01,No,One_year,Yes,Electronic_check,20.4,1090.65,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1584
1891-QRQSA,2014-10-01,No,Two_year,Yes,Bank_transfer_(automatic),111.6,7099.0,Male,1,Yes,Yes,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,1949
8028-PNXHQ,2014-12-01,No,Two_year,Yes,Bank_transfer_(automatic),24.25,1424.6,Male,0,Yes,Yes,No,No,No,No,No,No,No,Yes,0,2020-02-01,1888
5630-AHZIL,2019-11-01,No,Month-to-month,Yes,Bank_transfer_(automatic),64.5,177.4,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,0,2020-02-01,92
2673-CXQEU,2015-06-01,No,One_year,No,Electronic_check,110.5,6139.5,Female,1,No,No,Fiber_optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0,2020-02-01,1706
6416-JNVRK,2016-04-01,No,One_year,No,Credit_card_(automatic),55.65,2688.85,Female,0,No,No,DSL,No,No,No,No,No,Yes,No,0,2020-02-01,1401
5590-ZSKRV,2019-06-01,No,Month-to-month,No,Mailed_check,54.65,482.25,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,0,2020-02-01,245
0191-ZHSKZ,2017-08-01,No,Month-to-month,Yes,Electronic_check,74.75,2111.3,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0,2020-02-01,914
3887-PBQAO,2016-05-01,No,One_year,Yes,Credit_card_(automatic),25.9,1216.6,Female,0,Yes,Yes,No,No,No,No,No,No,No,Yes,0,2020-02-01,1371
5919-TMRGD,2019-11-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,79.35,79.35,Female,0,No,Yes,Fiber_optic,No,No,No,No,Yes,No,No,1,2019-12-01,30
8108-UXRQN,2019-03-01,No,Month-to-month,No,Electronic_check,50.55,565.35,Female,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No,0,2020-02-01,337
9191-MYQKX,2019-03-01,2019-10-01 00:00:00,Month-to-month,Yes,Bank_transfer_(automatic),75.15,496.9,Female,0,Yes,No,Fiber_optic,No,No,Yes,No,No,No,No,1,2019-10-01,214
9919-YLNNG,2016-08-01,No,Month-to-month,Yes,Bank_transfer_(automatic),103.8,4327.5,Female,0,No,No,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,No,0,2020-02-01,1279
0318-ZOPWS,2016-01-01,No,Two_year,Yes,Bank_transfer_(automatic),20.15,973.35,Female,0,Yes,No,No,No,No,No,No,No,No,No,0,2020-02-01,1492
4445-ZJNMU,2019-05-01,No,Month-to-month,Yes,Credit_card_(automatic),99.3,918.75,Male,0,No,No,Fiber_optic,No,Yes,No,No,Yes,Yes,Yes,0,2020-02-01,276
4808-YNLEU,2017-03-01,No,One_year,Yes,Bank_transfer_(automatic),62.15,2215.45,Female,0,Yes,No,DSL,Yes,No,No,No,Yes,No,No,0,2020-02-01,1067
1862-QRWPE,2016-02-01,No,Two_year,No,Bank_transfer_(automatic),20.65,1057.0,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1461
2796-NNUFI,2016-04-01,No,Two_year,Yes,Mailed_check,19.95,927.1,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1401
3016-KSVCP,2017-09-01,No,Month-to-month,No,Mailed_check,33.75,1009.25,Male,0,Yes,No,DSL,No,No,No,No,Yes,No,No,0,2020-02-01,883
4767-HZZHQ,2017-08-01,No,Month-to-month,No,Bank_transfer_(automatic),82.05,2570.2,Male,0,Yes,Yes,Fiber_optic,No,Yes,Yes,No,No,No,No,0,2020-02-01,914
2424-WVHPL,2020-01-01,No,Month-to-month,No,Electronic_check,74.7,74.7,Male,1,No,No,Fiber_optic,No,No,No,Yes,No,No,No,0,2020-02-01,31
7233-PAHHL,2014-08-01,No,Two_year,Yes,Mailed_check,84.0,5714.25,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2010
6067-NGCEU,2014-09-01,No,Month-to-month,Yes,Credit_card_(automatic),111.05,7107.0,Female,0,No,No,Fiber_optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0,2020-02-01,1979
9848-JQJTX,2014-02-01,No,Two_year,Yes,Bank_transfer_(automatic),100.9,7459.05,Male,0,No,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Yes,0,2020-02-01,2191
8637-XJIVR,2018-12-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,78.95,927.35,Female,0,No,No,Fiber_optic,Yes,No,No,No,No,No,Yes,1,2019-12-01,365
9803-FTJCG,2014-03-01,No,One_year,Yes,Credit_card_(automatic),66.85,4748.7,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,0,2020-02-01,2163
0278-YXOOG,2019-06-01,2019-11-01 00:00:00,Month-to-month,No,Mailed_check,21.05,113.85,Male,0,No,No,No,No,No,No,No,No,No,No,1,2019-11-01,153
3212-KXOCR,2015-10-01,No,Two_year,No,Bank_transfer_(automatic),21.0,1107.2,Male,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,1584
4598-XLKNJ,2017-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic_check,98.5,2514.5,Female,1,Yes,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,No,1,2020-01-01,761
6380-ARCEH,2020-01-01,No,Month-to-month,No,Mailed_check,20.2,20.2,Male,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,31
3679-XASPY,2020-01-01,No,Month-to-month,No,Electronic_check,19.45,19.45,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,31
7123-WQUHX,2016-12-01,No,One_year,No,Bank_transfer_(automatic),95.0,3605.6,Male,0,No,No,Fiber_optic,No,No,Yes,Yes,Yes,No,Yes,0,2020-02-01,1157
5386-THSLQ,2014-08-01,No,One_year,No,Bank_transfer_(automatic),45.55,3027.25,Female,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,0,2020-02-01,2010
3192-NQECA,2014-03-01,2019-11-01 00:00:00,Two_year,Yes,Bank_transfer_(automatic),110.0,7611.85,Male,0,Yes,No,Fiber_optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1,2019-11-01,2071
6180-YBIQI,2019-09-01,No,Month-to-month,No,Mailed_check,24.3,100.2,Male,0,No,No,DSL,No,No,No,No,No,No,No,0,2020-02-01,153
6728-DKUCO,2014-02-01,No,One_year,Yes,Electronic_check,104.15,7303.05,Female,0,Yes,Yes,Fiber_optic,Yes,Yes,No,No,Yes,Yes,Yes,0,2020-02-01,2191
9750-BOOHV,2017-06-01,No,One_year,No,Mailed_check,30.15,927.65,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,2020-02-01,975
8597-CWYHH,2016-07-01,No,One_year,No,Mailed_check,94.35,3921.3,Male,0,No,No,Fiber_optic,No,No,No,No,Yes,Yes,Yes,0,2020-02-01,1310
2848-YXSMW,2014-02-01,No,Two_year,No,Credit_card_(automatic),19.4,1363.25,Male,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,2191
0486-HECZI,2015-05-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,96.75,5238.9,Male,0,Yes,No,Fiber_optic,Yes,Yes,No,No,Yes,No,Yes,1,2019-12-01,1675
4549-ZDQYY,2015-10-01,No,One_year,No,Credit_card_(automatic),57.95,3042.25,Female,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No,0,2020-02-01,1584
5712-AHQNN,2016-07-01,No,Month-to-month,Yes,Electronic_check,91.65,3954.1,Female,0,No,No,Fiber_optic,No,Yes,Yes,No,Yes,No,No,0,2020-02-01,1310
4846-WHAFZ,2016-10-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,76.5,2868.15,Female,1,Yes,No,Fiber_optic,No,No,No,No,No,No,Yes,1,2019-11-01,1126
5256-SKJGO,2014-10-01,No,Two_year,Yes,Electronic_check,54.6,3423.5,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,0,2020-02-01,1949
3071-VBYPO,2019-11-01,No,Month-to-month,No,Electronic_check,89.85,248.4,Male,0,Yes,Yes,Fiber_optic,Yes,Yes,No,No,Yes,No,No,0,2020-02-01,92
9560-BBZXK,2017-02-01,No,Two_year,No,Bank_transfer_(automatic),31.05,1126.35,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,2020-02-01,1095
5299-RULOA,2019-02-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,100.25,1064.65,Female,0,Yes,Yes,Fiber_optic,Yes,No,No,No,Yes,Yes,Yes,1,2019-12-01,303
8402-OOOHJ,2016-09-01,No,Two_year,No,Mailed_check,20.65,835.15,Female,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,1248
9445-ZUEQE,2017-11-01,No,Month-to-month,Yes,Credit_card_(automatic),85.2,2151.6,Male,0,Yes,Yes,Fiber_optic,No,Yes,No,Yes,No,No,Yes,0,2020-02-01,822
1091-SOZGA,2015-06-01,No,One_year,Yes,Credit_card_(automatic),99.8,5515.45,Female,0,Yes,Yes,Fiber_optic,No,No,Yes,No,Yes,Yes,Yes,0,2020-02-01,1706
2928-HLDBA,2019-08-01,No,Month-to-month,No,Mailed_check,20.7,112.75,Female,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,184
0404-SWRVG,2019-09-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,74.4,229.55,Male,0,No,No,Fiber_optic,No,No,No,No,No,No,Yes,1,2019-12-01,91
6497-TILVL,2019-07-01,No,Month-to-month,No,Mailed_check,50.7,350.35,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0,2020-02-01,215
7219-TLZHO,2019-10-01,No,Month-to-month,No,Mailed_check,20.85,62.9,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,123
4622-YNKIJ,2017-05-01,No,Two_year,Yes,Electronic_check,88.95,3027.65,Male,0,No,No,Fiber_optic,Yes,No,No,Yes,Yes,No,No,0,2020-02-01,1006
4412-YLTKF,2017-10-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic_check,78.05,2135.5,Female,1,No,No,Fiber_optic,No,No,Yes,No,No,No,Yes,1,2020-01-01,822
6734-PSBAW,2014-02-01,No,Two_year,Yes,Bank_transfer_(automatic),23.55,1723.95,Male,0,Yes,No,No,No,No,No,No,No,No,Yes,0,2020-02-01,2191
3930-ZGWVE,2020-01-01,No,Month-to-month,No,Mailed_check,19.75,19.75,Male,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,31
2639-UGMAZ,2014-03-01,No,One_year,Yes,Electronic_check,56.45,3985.35,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0,2020-02-01,2163
2876-GZYZC,2019-01-01,No,Month-to-month,Yes,Electronic_check,85.95,1215.65,Female,0,No,No,Fiber_optic,No,No,No,No,No,Yes,Yes,0,2020-02-01,396
6207-WIOLX,2017-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Credit_card_(automatic),58.6,1502.65,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,1,2020-01-01,761
8587-XYZSF,2014-07-01,No,Two_year,No,Bank_transfer_(automatic),50.55,3260.1,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0,2020-02-01,2041
3091-FYHKI,2019-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic_check,35.45,35.45,Male,0,No,No,DSL,No,No,No,No,No,Yes,No,1,2020-01-01,31
2372-HWUHI,2019-11-01,2020-01-01 00:00:00,Month-to-month,No,Electronic_check,44.35,81.25,Male,0,No,No,DSL,No,No,No,No,No,No,No,1,2020-01-01,61
7799-LGRDP,2016-07-01,No,Two_year,Yes,Credit_card_(automatic),25.7,1188.2,Female,0,No,No,No,No,No,No,No,No,No,Yes,0,2020-02-01,1310
7850-VWJUU,2018-03-01,No,Month-to-month,Yes,Bank_transfer_(automatic),75.0,1778.5,Female,0,No,No,Fiber_optic,Yes,No,No,No,No,No,No,0,2020-02-01,702
3774-VBNXY,2014-10-01,No,Two_year,No,Mailed_check,20.2,1277.75,Female,0,Yes,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1949
6217-KDYWC,2015-05-01,No,Two_year,Yes,Mailed_check,19.6,1170.55,Male,0,No,Yes,No,No,No,No,No,No,No,No,0,2020-02-01,1737
0390-DCFDQ,2019-10-01,2019-11-01 00:00:00,Month-to-month,Yes,Mailed_check,70.45,70.45,Female,1,Yes,No,Fiber_optic,No,No,No,No,No,No,No,1,2019-11-01,31
3146-MSEGF,2014-02-01,No,Two_year,Yes,Credit_card_(automatic),88.05,6425.65,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2191
4080-OGPJL,2019-02-01,2019-10-01 00:00:00,Month-to-month,No,Electronic_check,71.15,563.65,Female,0,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,1,2019-10-01,242
1095-WGNGG,2015-01-01,No,Two_year,Yes,Bank_transfer_(automatic),101.05,5971.25,Female,0,Yes,No,Fiber_optic,No,Yes,No,No,Yes,Yes,Yes,0,2020-02-01,1857
2636-SJDOU,2014-10-01,No,One_year,Yes,Credit_card_(automatic),84.3,5289.05,Male,0,No,No,Fiber_optic,Yes,Yes,No,No,No,No,Yes,0,2020-02-01,1949
1131-QQZEB,2014-03-01,No,Two_year,No,Bank_transfer_(automatic),23.95,1756.2,Male,1,Yes,No,No,No,No,No,No,No,No,Yes,0,2020-02-01,2163
